date,campaign,channel,keyword,device,geography,audience_segment,impressions,clicks,cost,landing_page_visits,application_starts,conversions,revenue,customer_quality_score,ctr,cpc,conversion_rate,cpa,roas,visit_rate,application_start_rate,final_conversion_rate
2026-02-21,Business Card Paid Search,Bing Search,premium credit card,Desktop,Hyderabad,Young Professionals,539,31,962.2,22,6,0,0.0,58.1,0.0575139146567718,31.038709677419355,0.0,,0.0,0.7096774193548387,0.2727272727272727,0.0
2026-01-15,Cashback Search Campaign,Affiliate,airport lounge credit card,Mobile,Delhi,Frequent Travelers,1221,38,776.99,30,14,2,33368.59,88.9,0.031122031122031123,20.447105263157894,0.05263157894736842,388.495,42.94597099061763,0.7894736842105263,0.4666666666666667,0.14285714285714285
2026-03-13,Premium Card Campaign,Affiliate,travel rewards card,Mobile,Hyderabad,High Income Urban,3841,87,1439.94,66,16,2,20318.9,90.8,0.0226503514709711,16.55103448275862,0.022988505747126436,719.97,14.110935177854634,0.7586206896551724,0.24242424242424243,0.125
2026-03-02,Premium Card Campaign,Bing Search,fuel cashback card,Desktop,Delhi,High Income Urban,4917,157,3128.17,97,33,3,41637.7,55.0,0.031930038641448034,19.924649681528663,0.01910828025477707,1042.7233333333334,13.310561766144422,0.6178343949044586,0.3402061855670103,0.09090909090909091
2026-01-21,SME Acquisition Campaign,Bing Search,credit card for business,Mobile,Chennai,Students,673,24,827.71,18,4,0,0.0,44.1,0.03566121842496285,34.48791666666667,0.0,,0.0,0.75,0.2222222222222222,0.0
2026-03-24,Premium Card Campaign,Meta,fuel cashback card,Mobile,Bangalore,Premium Customers,1868,55,378.6,43,15,1,16828.83,87.1,0.029443254817987152,6.883636363636364,0.01818181818181818,378.6,44.45015847860539,0.7818181818181819,0.3488372093023256,0.06666666666666667
2026-03-28,Travel Rewards Campaign,Meta,best credit card,Mobile,Kolkata,High Income Urban,1674,57,984.89,35,13,1,14869.13,64.8,0.034050179211469536,17.27877192982456,0.017543859649122806,984.89,15.097249439023647,0.6140350877192983,0.37142857142857144,0.07692307692307693
2026-03-16,Premium Card Campaign,Google Search,premium credit card,Mobile,Chennai,Young Professionals,3281,99,2491.85,53,21,3,34146.17,66.1,0.030173727522096922,25.17020202020202,0.030303030303030304,830.6166666666667,13.703140237173184,0.5353535353535354,0.39622641509433965,0.14285714285714285
2026-03-16,Business Card Paid Search,Google Search,travel rewards card,Tablet,Gurgaon,Young Professionals,1359,99,3211.65,63,23,3,23828.64,73.2,0.0728476821192053,32.440909090909095,0.030303030303030304,1070.55,7.419438606323852,0.6363636363636364,0.36507936507936506,0.13043478260869565
2026-03-29,Cashback Search Campaign,Bing Search,cashback credit card,Mobile,Kolkata,Premium Customers,3238,129,1886.99,91,41,5,106349.21,68.3,0.03983940704138357,14.62782945736434,0.03875968992248062,377.398,56.3591804938023,0.7054263565891473,0.45054945054945056,0.12195121951219512
2026-01-24,Cashback Search Campaign,Google Search,cashback credit card,Mobile,Gurgaon,Young Professionals,4953,212,4702.27,169,49,5,38034.98,41.5,0.04280234201494044,22.18051886792453,0.02358490566037736,940.4540000000001,8.088642294040962,0.7971698113207547,0.28994082840236685,0.10204081632653061
2026-01-03,Premium Card Campaign,Google Search,credit card for business,Mobile,Bangalore,Frequent Travelers,7049,262,6424.73,169,43,4,67854.54,94.6,0.03716839267981274,24.521870229007632,0.015267175572519083,1606.1825,10.561461726796301,0.6450381679389313,0.25443786982248523,0.09302325581395349
2026-01-22,Credit Card Acquisition,Google Search,no annual fee credit card,Mobile,Delhi,Students,482,25,742.63,19,5,0,0.0,42.6,0.05186721991701245,29.7052,0.0,,0.0,0.76,0.2631578947368421,0.0
2026-02-22,Credit Card Acquisition,Display,airport lounge credit card,Desktop,Bangalore,Young Professionals,2345,91,701.93,44,10,1,8475.94,62.9,0.03880597014925373,7.713516483516483,0.01098901098901099,701.93,12.075192683031073,0.4835164835164835,0.22727272727272727,0.1
2026-01-02,Travel Rewards Campaign,Google Search,no annual fee credit card,Desktop,Delhi,Frequent Travelers,2139,116,2167.41,85,29,5,69882.27,67.3,0.05423094904160823,18.68456896551724,0.04310344827586207,433.48199999999997,32.24229379766634,0.7327586206896551,0.3411764705882353,0.1724137931034483
2026-03-29,Credit Card Acquisition,Google Search,premium credit card,Desktop,Bangalore,Premium Customers,3836,257,8260.42,176,57,6,162620.02,88.4,0.06699687174139729,32.14171206225681,0.023346303501945526,1376.7366666666667,19.686652736785778,0.6848249027237354,0.32386363636363635,0.10526315789473684
2026-01-30,Travel Rewards Campaign,Google Search,no annual fee credit card,Mobile,Kolkata,Students,4290,228,4467.93,202,76,4,17403.89,58.7,0.05314685314685315,19.596184210526317,0.017543859649122806,1116.9825,3.895291555597334,0.8859649122807017,0.37623762376237624,0.05263157894736842
2026-02-07,SME Acquisition Campaign,Meta,credit card for business,Mobile,Bangalore,Premium Customers,2041,56,1276.79,31,6,0,0.0,93.0,0.027437530622243998,22.799821428571427,0.0,,0.0,0.5535714285714286,0.1935483870967742,0.0
2026-01-02,Travel Rewards Campaign,Meta,travel rewards card,Mobile,Bangalore,Students,5278,168,2882.28,120,40,4,22654.65,46.9,0.03183023872679045,17.156428571428574,0.023809523809523808,720.57,7.859975436113077,0.7142857142857143,0.3333333333333333,0.1
2026-03-05,Credit Card Acquisition,Bing Search,travel rewards card,Desktop,Kolkata,Young Professionals,1861,90,2416.34,51,22,1,2600.91,44.3,0.04836109618484686,26.848222222222223,0.011111111111111112,2416.34,1.0763841181290712,0.5666666666666667,0.43137254901960786,0.045454545454545456
2026-03-01,Premium Card Campaign,Bing Search,travel rewards card,Mobile,Gurgaon,Young Professionals,1120,68,2032.5,45,17,2,16146.5,69.4,0.060714285714285714,29.889705882352942,0.029411764705882353,1016.25,7.944157441574416,0.6617647058823529,0.37777777777777777,0.11764705882352941
2026-01-21,SME Acquisition Campaign,Affiliate,cashback credit card,Mobile,Delhi,Students,3254,82,584.85,47,8,1,2117.56,45.1,0.02519975414874001,7.132317073170732,0.012195121951219513,584.85,3.620689065572369,0.573170731707317,0.1702127659574468,0.125
2026-02-02,Credit Card Acquisition,Google Search,low annual fee card,Desktop,Pune,Frequent Travelers,888,47,1108.52,42,14,1,18441.84,71.9,0.05292792792792793,23.585531914893618,0.02127659574468085,1108.52,16.636452206545666,0.8936170212765957,0.3333333333333333,0.07142857142857142
